4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_14.ts 18 : 16 : 56
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_14.ts 18 : 16 : 56
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_14.ts 18 : 16 : 58
8 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_14.ts 18 : 17 : 0
2 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_14.ts 18 : 17 : 0
0 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_14.ts 18 : 17 : 1
5 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_14.ts 18 : 17 : 2
9 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_14.ts 18 : 17 : 4
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_15.ts 18 : 17 : 5
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_15.ts 18 : 17 : 6
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_15.ts 18 : 17 : 6
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_15.ts 18 : 17 : 6
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_15.ts 18 : 17 : 8
2 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_15.ts 18 : 17 : 10
8 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_15.ts 18 : 17 : 10
0 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_15.ts 18 : 17 : 12
5 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_15.ts 18 : 17 : 12
9 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_15.ts 18 : 17 : 14
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_16.ts 18 : 17 : 15
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_16.ts 18 : 17 : 16
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_16.ts 18 : 17 : 16
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_16.ts 18 : 17 : 16
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_16.ts 18 : 17 : 18
2 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_16.ts 18 : 17 : 20
8 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_16.ts 18 : 17 : 20
0 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_16.ts 18 : 17 : 22
5 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_16.ts 18 : 17 : 22
9 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_16.ts 18 : 17 : 24
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_17.ts 18 : 17 : 25
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_17.ts 18 : 17 : 26
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_17.ts 18 : 17 : 26
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_17.ts 18 : 17 : 26
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_17.ts 18 : 17 : 28
200 http://192.168.0.124:1935/live/nana/playlist.m3u8 22 : 7 : 42
200 http://192.168.0.124:1935/live/nana/chunklist_w126658195.m3u8 22 : 7 : 42
1 200 http://192.168.0.124:1935/live/nana/media_w126658195_12.ts 22 : 7 : 43
200 http://192.168.0.124:1935/live/nana/chunklist_w126658195.m3u8 22 : 7 : 43
0 200 http://192.168.0.124:1935/live/nana/media_w126658195_12.ts 22 : 7 : 43
1 200 http://192.168.0.124:1935/live/nana/media_w126658195_13.ts 22 : 7 : 44
200 http://192.168.0.124:1935/live/nana/chunklist_w126658195.m3u8 22 : 7 : 44
0 200 http://192.168.0.124:1935/live/nana/media_w126658195_13.ts 22 : 7 : 44
1 200 http://192.168.0.124:1935/live/nana/media_w126658195_14.ts 22 : 7 : 45
200 http://192.168.0.124:1935/live/nana/chunklist_w126658195.m3u8 22 : 7 : 45
0 200 http://192.168.0.124:1935/live/nana/media_w126658195_14.ts 22 : 7 : 45
1 200 http://192.168.0.124:1935/live/nana/media_w126658195_15.ts 22 : 7 : 46
0 200 http://192.168.0.124:1935/live/nana/media_w126658195_15.ts 22 : 7 : 46
200 http://192.168.0.124:1935/live/nana/chunklist_w126658195.m3u8 22 : 7 : 46
1 wait for new ts file 22 : 7 : 46
0 wait for new ts file 22 : 7 : 46
200 http://192.168.0.124:1935/live/nana/chunklist_w126658195.m3u8 22 : 7 : 47
1 wait for new ts file 22 : 7 : 47
0 wait for new ts file 22 : 7 : 47
200 http://192.168.0.124:1935/live/nana/chunklist_w126658195.m3u8 22 : 7 : 48
1 wait for new ts file 22 : 7 : 48
0 wait for new ts file 22 : 7 : 48
200 http://192.168.0.124:1935/live/nana/chunklist_w126658195.m3u8 22 : 7 : 49
1 wait for new ts file 22 : 7 : 49
0 wait for new ts file 22 : 7 : 49
200 http://192.168.0.124:1935/live/nana/chunklist_w126658195.m3u8 22 : 7 : 50
1 wait for new ts file 22 : 7 : 50
0 wait for new ts file 22 : 7 : 50
200 http://192.168.0.124:1935/live/nana/chunklist_w126658195.m3u8 22 : 7 : 51
